ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
1,ICT폴리텍대학,전문대학,사립,경기,C그룹,44.448348491607305,44.1517793416474,44.035625587254074,43.25030905163322,71.51099890408692,71.49626259872565,71.48863287049932,71.49801636894533,71.44780982719521,71.4478098271952,71.4478098271952,71.44167,71.40503
2,가야대학교,대학,사립,경남,C그룹,44.41730947961487,44.12933519758866,44.00990919450837,43.23613722189157,69.07336070133672,68.80304719259803,68.3597021565931,67.54437255620458,67.31636719955006,67.31411373594274,67.3182606343337,68.04042,68.28518
3,가천대학교,대학,사립,경기,A그룹,44.495583160596816,44.25369389423492,44.0806047484177,43.27245240218769,70.65039263265095,69.83797808886146,70.81758066446811,70.79772151840685,70.5648685519516,70.60126684207654,70.65399242496814,70.661285,70.68174
4,가톨릭관동대학교,대학,사립,강원,B그룹,44.40370423937957,44.13066000585672,43.988991248697985,43.19738644894299,67.45161264742451,68.44480719372133,67.38576998917448,67.31768958174935,67.29277531623615,67.28480174174423,67.3413497383811,67.280365,67.529884
5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,44.67581500405947,44.45555264139419,44.2877449673016,43.31077149759254,67.98882728752125,69.13212556853017,67.4239959858132,67.97057658576037,70.6678137927534,67.66756853526073,69.00011731583093,69.59452,69.06103
6,가톨릭대학교,대학,사립,경기,A그룹,44.99593495791923,44.790117316332065,44.70365226549926,43.613025312673024,73.84892105572295,73.72957216484183,73.57441702187329,73.65898071488543,73.68066428309322,73.7282632724036,73.82754016394964,73.60236,73.80197
7,가톨릭상지대학교,전문대학,사립,경북,C그룹,44.675462834727576,44.175413193218986,44.21800046763153,43.275698820695524,67.39492315143163,67.38786804728491,67.39949180342397,67.39194995782924,67.38533920746852,67.3467056826059,67.33150825374402,67.26802,67.24234
8,감리교신학대학교,대학,사립,서울,C그룹,44.66894692173312,44.371556655722124,44.27097063831316,43.32365967070501,67.33795447063187,67.41525059758891,67.71576922185194,68.45206049055827,67.30461990765788,69.604048654398,67.94391974863305,68.91304,69.35622
9,강남대학교,대학,사립,경기,B그룹,44.41730947961487,44.11323327335914,44.00329939915859,43.2218637533741,69.22308171183374,68.92766490525732,69.9040814529381,67.94360070324514,69.89292134796526,69.37560972675887,69.2916838083446,69.054474,69.28861
10,강동대학교,전문대학,사립,충북,B그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,70.81749272328626,68.62836498420862,70.1271253118686,71.44780982719523,70.36493491712987,67.39172849748736,67.39172849748736,67.43128,69.188805
11,강릉영동대학교,전문대학,사립,강원,B그룹,44.408780708620306,44.11736419318575,43.99318573625144,43.22078354815152,68.93354089808487,67.41051518124509,69.0779821149713,67.6794270815917,70.39266979778982,70.39266979778981,70.39266979778982,70.40215,70.188
12,강서대학교,대학,사립,서울,C그룹,44.55583962530832,44.13082881571296,43.99318573625144,43.28347988663119,67.65146557912529,67.36020703090374,67.34106196064302,67.42619611926048,67.33578766073191,67.34066594727379,67.35985512619366,67.617775,67.8593
13,강원관광대학교,전문대학,사립,강원,C그룹,44.41730947961487,44.11736419318575,43.982700999347784,43.21029881124786,67.48656868632135,68.85722321359441,70.36952628204259,67.36111210834582,71.32362389005819,71.33260677269777,71.4478098271952,71.4384,71.45438
14,강원대학교,대학,국립,강원,A그룹,44.75292223933842,44.34311375746135,44.257116466997154,43.286183065519054,69.13845538413203,71.87352924322302,72.01817122275101,72.56960286763416,72.40090516586017,72.43414027824711,72.44416996884986,72.3186,72.3186
15,강원도립대학교,전문대학,공립,강원,C그룹,44.416465015241535,44.22262293343314,44.01454389834131,43.194408642787884,67.38514788270142,67.3162215157972,67.75800700431593,67.29900689829765,67.3203937069692,67.32707392509876,69.73485943095186,67.44467,68.47116
16,개신대학원대학교,대학원대학,사립,서울,-,44.66894692173312,44.37937804785553,44.285644516562584,43.27963061747536,68.9226963600555,68.39134326759711,70.20788073735662,67.33916564280159,69.28143524704113,67.30360286179473,68.9175069436011,67.801216,68.58465
17,거제대학교,전문대학,사립,경남,C그룹,44.41730947961487,44.11468426894333,44.130783810015785,43.239920803234746,69.80123608448895,69.34433940910051,67.64601735667111,67.38837916249484,69.83486521173594,67.42352730369726,69.72808477942512,68.74564,67.82133
