ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024
1,ICT폴리텍대학,전문대학,사립,경기,C그룹,44.44834849160732,44.15177934164739,44.03562558725407,43.25030905163322,71.51099890408693,71.49626259872564,71.48863287049932,71.49801636894533,71.4478098271952,71.4478098271952,71.4478098271952
2,가야대학교,대학,사립,경남,C그룹,44.417309479614886,44.12933519758866,44.00990919450837,43.23613722189157,69.07336070133672,68.80304719259802,68.35970215659309,67.54437255620458,67.31636719955004,67.31411373594275,67.31826063433371
3,가천대학교,대학,사립,경기,A그룹,44.49558316059682,44.25369389423492,44.080604748417684,43.27245240218769,70.65039263265095,69.83797808886146,70.81758066446811,70.79772151840686,70.56486855195159,70.60126684207654,70.65399242496812
4,가톨릭관동대학교,대학,사립,강원,B그룹,44.40370423937958,44.13066000585672,43.988991248697985,43.197386448943,67.45161264742451,68.44480719372132,67.38576998917448,67.31768958174936,67.29277531623613,67.28480174174423,67.3413497383811
5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,44.67581500405949,44.45555264139419,44.287744967301585,43.31077149759255,67.98882728752123,69.13212556853016,67.4239959858132,67.97057658576037,70.6678137927534,67.66756853526073,69.00011731583093
6,가톨릭대학교,대학,사립,경기,A그룹,44.99593495791924,44.790117316332065,44.703652265499244,43.61302531267302,73.84892105572295,73.72957216484181,73.57441702187329,73.65898071488544,73.68066428309324,73.7282632724036,73.82754016394964
7,가톨릭상지대학교,전문대학,사립,경북,C그룹,44.67546283472758,44.175413193218986,44.218000467631526,43.27569882069553,67.39492315143163,67.38786804728491,67.39949180342397,67.39194995782928,67.3853392074685,67.34670568260591,67.33150825374402
8,감리교신학대학교,대학,사립,서울,C그룹,44.668946921733124,44.371556655722124,44.270970638313145,43.32365967070501,67.33795447063189,67.41525059758892,67.71576922185193,68.45206049055827,67.30461990765788,69.604048654398,67.94391974863306
9,강남대학교,대학,사립,경기,B그룹,44.417309479614886,44.11323327335914,44.003299399158585,43.2218637533741,69.22308171183376,68.9276649052573,69.9040814529381,67.94360070324514,69.89292134796526,69.37560972675887,69.29168380834462
10,강동대학교,전문대학,사립,충북,B그룹,44.417309479614886,44.11736419318575,43.993185736251434,43.22078354815152,70.81749272328629,68.6283649842086,70.1271253118686,71.44780982719523,70.36493491712989,67.39172849748736,67.39172849748735
11,강릉영동대학교,전문대학,사립,강원,B그룹,44.40878070862032,44.11736419318575,43.993185736251434,43.22078354815152,68.93354089808487,67.4105151812451,69.07798211497129,67.67942708159171,70.39266979778982,70.39266979778981,70.39266979778984
12,강서대학교,대학,사립,서울,C그룹,44.55583962530833,44.13082881571297,43.993185736251434,43.28347988663119,67.65146557912531,67.36020703090377,67.34106196064302,67.4261961192605,67.3357876607319,67.3406659472738,67.35985512619366
13,강원관광대학교,전문대학,사립,강원,C그룹,44.417309479614886,44.11736419318575,43.982700999347784,43.21029881124787,67.48656868632135,68.8572232135944,70.3695262820426,67.36111210834585,71.32362389005819,71.33260677269777,71.4478098271952
14,강원대학교,대학,국립,강원,A그룹,44.752922239338425,44.34311375746135,44.257116466997154,43.286183065519054,69.13845538413199,71.87352924322302,72.018171222751,72.56960286763416,72.40090516586018,72.43414027824711,72.44416996884986
15,강원도립대학교,전문대학,공립,강원,C그룹,44.41646501524155,44.222622933433136,44.01454389834131,43.194408642787884,67.38514788270143,67.31622151579721,67.75800700431591,67.29900689829766,67.32039370696918,67.32707392509877,69.73485943095187
16,개신대학원대학교,대학원대학,사립,서울,-,44.668946921733124,44.37937804785553,44.28564451656257,43.27963061747536,68.9226963600555,68.3913432675971,70.2078807373566,67.3391656428016,69.28143524704112,67.30360286179474,68.9175069436011
17,거제대학교,전문대학,사립,경남,C그룹,44.417309479614886,44.11468426894333,44.13078381001578,43.23992080323475,69.80123608448895,69.3443394091005,67.6460173566711,67.38837916249486,69.83486521173596,67.42352730369727,69.72808477942512
18,건국대학교,대학,사립,서울,A그룹,45.00292405422326,44.74547738915226,44.64654412792217,43.48216686291364,71.82238098531975,71.42789278423386,72.38636853451442,72.00933295635303,72.27637639328682,71.45381972532115,72.7369869918179
19,건국대학교(글로컬),대학,사립,충북,B그룹,44.500699730218315,44.20054362580274,44.073505116928224,43.21202600597687,67.4359256400392,67.5661441946322,67.25123004826432,69.9285901175628,67.29123988812802,67.31361195888789,67.32429197252537
20,건동대학교,대학,사립,경북,C그룹,44.417309479614886,44.11736419318575,43.993185736251434,43.22078354815152,71.47442629784577,71.45543955542153,71.44780982719523,71.44780982719523,71.4478098271952,71.4478098271952,71.4478098271952
